case_id,Mask_ID,region_id,label_id,voxels,empty,D,H,W,zmin,zmax,ymin,ymax,xmin,xmax,bbox_d,bbox_h,bbox_w,centroid_z,centroid_y,centroid_x,centroid_z_norm,centroid_y_norm,centroid_x_norm,slices_covered,surface_voxels,surface_to_volume,components
s0012,1,s0012__1,1,153,0,32,256,256,19.0,23.0,78.0,149.0,145.0,192.0,5.0,72.0,48.0,21.0718954248366,127.37254901960785,169.37908496732027,0.6797385620915033,0.49950019223375625,0.6642317057541971,4.0,153.0,1.0,6.0
s0012,3,s0012__3,3,120217,0,32,256,256,18.0,30.0,75.0,228.0,41.0,236.0,13.0,154.0,196.0,24.45172479765757,175.841977424158,150.09084405699693,0.78876531605347,0.6895763820555215,0.5885915453215566,13.0,38126.0,0.3171431661079548,1.0
s0021,1,s0021__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0021,2,s0021__2,2,18,0,32,256,256,19.0,19.0,137.0,146.0,154.0,159.0,1.0,10.0,6.0,19.0,141.5,156.5,0.6129032258064516,0.5549019607843138,0.6137254901960785,1.0,18.0,1.0,2.0
s0021,4,s0021__4,4,2946,0,32,256,256,15.0,18.0,99.0,177.0,90.0,152.0,4.0,79.0,63.0,16.263408010862186,137.84114052953157,131.0930074677529,0.5246260648665221,0.5405534922726728,0.5140902253637368,4.0,2799.0,0.9501018329938901,1.0
s0024,1,s0024__1,1,6490,0,32,256,256,14.0,28.0,101.0,157.0,85.0,172.0,15.0,57.0,88.0,23.639137134052387,126.84391371340524,123.41802773497689,0.7625528107758834,0.49742711260158917,0.48399226562736036,15.0,5294.0,0.8157164869029275,1.0
s0024,2,s0024__2,2,168,0,32,256,256,17.0,21.0,93.0,218.0,143.0,160.0,5.0,126.0,18.0,19.214285714285715,149.5952380952381,151.8095238095238,0.619815668202765,0.5866479925303455,0.5953314659197012,2.0,168.0,1.0,2.0
s0024,3,s0024__3,3,23,0,32,256,256,18.0,18.0,80.0,85.0,110.0,114.0,1.0,6.0,5.0,18.0,82.21739130434783,112.17391304347827,0.5806451612903226,0.3224211423699915,0.4398976982097187,1.0,23.0,1.0,1.0
s0028,1,s0028__1,1,1621,0,32,256,256,12.0,15.0,87.0,135.0,138.0,158.0,4.0,49.0,21.0,13.256014805675509,111.18568784700803,148.57618753855644,0.42761338082824224,0.4360223052823844,0.5826517158374762,4.0,1296.0,0.7995064774830352,1.0
s0029,3,s0029__3,3,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0029,4,s0029__4,4,7,0,32,256,256,20.0,20.0,191.0,193.0,132.0,135.0,1.0,3.0,4.0,20.0,192.0,133.71428571428572,0.6451612903225806,0.7529411764705882,0.5243697478991597,1.0,7.0,1.0,1.0
s0029,5,s0029__5,5,3604,0,32,256,256,0.0,6.0,56.0,203.0,94.0,125.0,7.0,148.0,32.0,3.6950610432852384,125.43673695893452,106.04217536071032,0.11919551752533027,0.4919087723879785,0.41585166808121693,7.0,3110.0,0.8629300776914539,2.0
s0037,1,s0037__1,1,19,0,32,256,256,18.0,18.0,109.0,113.0,74.0,78.0,1.0,5.0,5.0,18.0,111.36842105263158,75.73684210526316,0.5806451612903226,0.43673890608875127,0.29700722394220846,1.0,19.0,1.0,1.0
s0038,1,s0038__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0038,3,s0038__3,3,13230,0,32,256,256,21.0,29.0,48.0,110.0,79.0,152.0,9.0,63.0,74.0,25.0005291005291,71.54308390022676,111.60234315948601,0.806468680662229,0.2805611133342226,0.43765624768425887,9.0,5808.0,0.43900226757369615,1.0
s0040,1,s0040__1,1,256,0,32,256,256,14.0,16.0,93.0,153.0,102.0,124.0,3.0,61.0,23.0,15.0078125,111.65234375,112.2890625,0.48412298387096775,0.43785232843137256,0.44034926470588237,3.0,256.0,1.0,2.0
s0043,1,s0043__1,1,2146,0,32,256,256,8.0,10.0,102.0,171.0,91.0,135.0,3.0,70.0,45.0,8.889561975768872,137.7264678471575,119.8690587138863,0.28676006373447976,0.540103795479049,0.4700747400544561,3.0,2142.0,0.9981360671015843,4.0
s0044,1,s0044__1,1,3867,0,32,256,256,12.0,15.0,101.0,162.0,59.0,136.0,4.0,62.0,78.0,13.51797258856995,132.4494440134471,101.80605120248255,0.43606363188935326,0.5194095843664592,0.39923941648032374,4.0,3603.0,0.9317300232738557,2.0
s0044,2,s0044__2,2,3672,0,32,256,256,9.0,13.0,104.0,164.0,50.0,136.0,5.0,61.0,87.0,10.958061002178649,134.15795206971677,101.28867102396514,0.35348583877995643,0.5261096159596736,0.39721047460378484,5.0,3607.0,0.9822984749455338,2.0
s0046,2,s0046__2,2,28,0,32,256,256,10.0,19.0,43.0,196.0,88.0,162.0,10.0,154.0,75.0,11.285714285714286,68.85714285714286,102.21428571428571,0.36405529953917054,0.27002801120448183,0.40084033613445375,2.0,28.0,1.0,3.0
s0046,3,s0046__3,3,103,0,32,256,256,10.0,11.0,45.0,58.0,156.0,175.0,2.0,14.0,20.0,10.650485436893204,50.80582524271845,168.15533980582524,0.3435640463513937,0.19923853036360176,0.6594327051208833,2.0,103.0,1.0,2.0
s0046,5,s0046__5,5,384,0,32,256,256,25.0,27.0,128.0,141.0,141.0,160.0,3.0,14.0,20.0,26.1328125,134.88541666666666,151.37239583333334,0.8429939516129032,0.5289624183006536,0.5936172385620916,3.0,364.0,0.9479166666666666,1.0
s0046,6,s0046__6,6,1302,0,32,256,256,0.0,1.0,182.0,210.0,137.0,179.0,2.0,29.0,43.0,0.42319508448540705,195.57142857142858,158.83256528417817,0.013651454338238937,0.7669467787114846,0.6228728050359928,2.0,1302.0,1.0,1.0
s0046,8,s0046__8,8,69,0,32,256,256,31.0,31.0,131.0,151.0,134.0,140.0,1.0,21.0,7.0,31.0,141.6086956521739,137.8840579710145,1.0,0.5553282182438193,0.5407217959647628,1.0,69.0,1.0,1.0
s0056,1,s0056__1,1,346,0,32,256,256,25.0,29.0,126.0,145.0,186.0,203.0,5.0,20.0,18.0,26.502890173410403,135.6936416184971,195.47976878612718,0.8549319410777549,0.532131927915675,0.7665873285730478,5.0,303.0,0.8757225433526011,1.0
s0057,4,s0057__4,4,1840,0,32,256,256,3.0,13.0,64.0,194.0,86.0,131.0,11.0,131.0,46.0,7.966304347826087,117.97880434782608,108.29510869565217,0.2569775596072931,0.4626619778346121,0.42468670076726345,11.0,1825.0,0.9918478260869565,18.0
s0058,2,s0058__2,2,747,0,32,256,256,13.0,31.0,95.0,139.0,74.0,120.0,19.0,45.0,47.0,20.997322623828648,115.76037483266398,98.90227576974564,0.6773329878654403,0.4539622542457411,0.3878520618421398,10.0,747.0,1.0,54.0
s0058,3,s0058__3,3,225,0,32,256,256,21.0,22.0,146.0,159.0,134.0,152.0,2.0,14.0,19.0,21.608888888888888,153.14666666666668,143.5288888888889,0.6970609318996416,0.6005751633986929,0.5628583877995643,2.0,225.0,1.0,1.0
s0059,3,s0059__3,3,202,0,32,256,256,8.0,12.0,133.0,150.0,76.0,91.0,5.0,18.0,16.0,9.92079207920792,142.95544554455446,84.32178217821782,0.320025550942191,0.5606095903708018,0.33067365560085415,5.0,200.0,0.9900990099009901,2.0
s0059,4,s0059__4,4,9211,0,32,256,256,13.0,19.0,79.0,187.0,84.0,151.0,7.0,109.0,68.0,15.95896211052003,129.591792422104,119.50048854630333,0.5148052293716139,0.5082031075376627,0.46862936684824835,7.0,7147.0,0.7759200955379437,4.0
s0059,5,s0059__5,5,1696,0,32,256,256,23.0,25.0,135.0,180.0,35.0,70.0,3.0,46.0,36.0,24.089033018867923,155.68867924528303,47.930424528301884,0.777065581253804,0.6105438401775805,0.18796244913059562,3.0,1544.0,0.910377358490566,1.0
s0061,1,s0061__1,1,182,0,32,256,256,3.0,18.0,119.0,134.0,53.0,142.0,16.0,16.0,90.0,11.06043956043956,127.57692307692308,100.7032967032967,0.35678837291740517,0.5003016591251885,0.3949148890325361,14.0,182.0,1.0,34.0
s0061,2,s0061__2,2,488,0,32,256,256,3.0,23.0,114.0,136.0,55.0,147.0,21.0,23.0,93.0,12.364754098360656,125.20696721311475,100.19877049180327,0.3988630354309889,0.4910077145612343,0.39293635486981676,16.0,488.0,1.0,74.0
s0061,3,s0061__3,3,75,0,32,256,256,13.0,18.0,131.0,139.0,119.0,133.0,6.0,9.0,15.0,15.76,135.46666666666667,128.41333333333333,0.5083870967741936,0.5312418300653595,0.5035816993464052,6.0,74.0,0.9866666666666667,4.0
s0061,5,s0061__5,5,128,0,32,256,256,15.0,15.0,113.0,124.0,130.0,145.0,1.0,12.0,16.0,15.0,117.390625,136.8828125,0.4838709677419355,0.4603553921568627,0.5367953431372549,1.0,128.0,1.0,1.0
s0063,1,s0063__1,1,1724,0,32,256,256,3.0,18.0,111.0,138.0,50.0,131.0,16.0,28.0,82.0,9.243039443155453,122.29930394431554,83.35150812064965,0.29816256268243396,0.47960511350711976,0.3268686592966653,16.0,1670.0,0.968677494199536,14.0
s0063,2,s0063__2,2,668,0,32,256,256,3.0,19.0,116.0,134.0,22.0,108.0,17.0,19.0,87.0,11.305389221556887,124.75299401197604,63.10179640718563,0.36468997488893184,0.4892274274979453,0.24745802512621817,17.0,668.0,1.0,150.0
s0063,3,s0063__3,3,3117,0,32,256,256,17.0,21.0,133.0,174.0,115.0,150.0,5.0,42.0,36.0,19.103946102021172,154.4122553737568,134.8286814244466,0.6162563258716507,0.6055382563676738,0.5287399271546925,5.0,1947.0,0.6246390760346487,1.0
s0067,1,s0067__1,1,2031,0,32,256,256,1.0,22.0,103.0,165.0,47.0,132.0,22.0,63.0,86.0,7.611029049729197,131.87592319054653,89.79074347612014,0.24551706612029667,0.5171604831001825,0.35212056265145153,19.0,2025.0,0.9970457902511078,51.0
s0067,2,s0067__2,2,739,0,32,256,256,2.0,25.0,110.0,153.0,49.0,141.0,24.0,44.0,93.0,16.163734776725306,127.13531799729364,96.82408660351827,0.5214107992492034,0.49856987449919077,0.379702300405954,12.0,739.0,1.0,42.0
s0067,3,s0067__3,3,208,0,32,256,256,1.0,4.0,154.0,165.0,65.0,83.0,4.0,12.0,19.0,2.2115384615384617,159.5,73.13461538461539,0.07133995037220844,0.6254901960784314,0.28680241327300154,4.0,199.0,0.9567307692307693,2.0
s0067,5,s0067__5,5,706,0,32,256,256,10.0,13.0,13.0,102.0,69.0,103.0,4.0,90.0,35.0,11.869688385269122,64.86827195467423,83.10339943342777,0.38289317371835874,0.25438538021440876,0.3258956840526579,4.0,706.0,1.0,3.0
s0070,1,s0070__1,1,464,0,32,256,256,1.0,28.0,95.0,247.0,77.0,113.0,28.0,153.0,37.0,8.508620689655173,119.9396551724138,90.45258620689656,0.27447163515016687,0.47035158891142664,0.3547160243407708,19.0,462.0,0.9956896551724138,74.0
s0070,3,s0070__3,3,1429,0,32,256,256,20.0,27.0,123.0,148.0,103.0,167.0,8.0,26.0,65.0,24.438768369489154,133.48005598320503,125.90272918124563,0.7883473667577147,0.5234511999341374,0.49373619286762993,5.0,1113.0,0.7788663400979706,2.0
s0071,1,s0071__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0071,2,s0071__2,2,20,0,32,256,256,9.0,9.0,142.0,147.0,138.0,144.0,1.0,6.0,7.0,9.0,143.95,141.6,0.2903225806451613,0.5645098039215686,0.5552941176470588,1.0,20.0,1.0,1.0
s0071,3,s0071__3,3,26,0,32,256,256,8.0,8.0,153.0,157.0,90.0,95.0,1.0,5.0,6.0,8.0,154.92307692307693,92.5,0.25806451612903225,0.6075414781297135,0.3627450980392157,1.0,26.0,1.0,1.0
s0071,4,s0071__4,4,1991,0,32,256,256,11.0,24.0,52.0,118.0,64.0,113.0,14.0,67.0,50.0,14.500753390256152,91.40431943746862,75.64138623807132,0.46776623839535975,0.35844831151948475,0.2966328872081228,14.0,1729.0,0.8684078352586639,1.0
s0071,5,s0071__5,5,354,0,32,256,256,24.0,29.0,82.0,105.0,106.0,126.0,6.0,24.0,21.0,26.584745762711865,96.44915254237289,116.69491525423729,0.8575724439584472,0.37823197075440346,0.4576271186440678,6.0,335.0,0.9463276836158192,3.0
s0079,1,s0079__1,1,72,0,32,256,256,9.0,9.0,116.0,124.0,148.0,156.0,1.0,9.0,9.0,9.0,119.83333333333333,152.13888888888889,0.2903225806451613,0.4699346405228758,0.5966230936819172,1.0,72.0,1.0,1.0
s0080,1,s0080__1,1,16,0,32,256,256,3.0,3.0,169.0,173.0,129.0,133.0,1.0,5.0,5.0,3.0,171.0,130.6875,0.0967741935483871,0.6705882352941176,0.5125,1.0,16.0,1.0,1.0
s0080,2,s0080__2,2,262,0,32,256,256,9.0,13.0,181.0,202.0,57.0,84.0,5.0,22.0,28.0,11.450381679389313,194.5648854961832,68.5114503816794,0.36936715094804234,0.7629995509654243,0.2686723544379584,5.0,238.0,0.9083969465648855,1.0
s0086,1,s0086__1,1,10,0,32,256,256,15.0,15.0,65.0,69.0,129.0,130.0,1.0,5.0,2.0,15.0,67.0,129.5,0.4838709677419355,0.2627450980392157,0.5078431372549019,1.0,10.0,1.0,1.0
s0089,1,s0089__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0102,1,s0102__1,1,1184,0,32,256,256,24.0,25.0,76.0,173.0,113.0,202.0,2.0,98.0,90.0,24.40287162162162,133.80405405405406,167.12246621621622,0.7871894071490846,0.5247217806041335,0.6553822204557499,2.0,1184.0,1.0,7.0
s0102,2,s0102__2,2,183,0,32,256,256,10.0,12.0,96.0,174.0,22.0,210.0,3.0,79.0,189.0,10.568306010928962,137.1584699453552,83.06557377049181,0.3409130971267407,0.5378763527268832,0.32574734811957573,2.0,183.0,1.0,3.0
s0103,1,s0103__1,1,17,0,32,256,256,17.0,17.0,104.0,153.0,139.0,156.0,1.0,50.0,18.0,17.0,129.23529411764707,148.35294117647058,0.5483870967741935,0.506805074971165,0.5817762399077278,1.0,17.0,1.0,8.0
s0108,1,s0108__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0110,1,s0110__1,1,5797,0,32,256,256,10.0,27.0,114.0,134.0,110.0,149.0,18.0,21.0,40.0,17.670346731067795,123.73969294462653,131.89770570984993,0.5700111848731547,0.4852536978220648,0.5172459047445095,18.0,2999.0,0.5173365533896843,1.0
s0117,1,s0117__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0117,2,s0117__2,2,31,0,32,256,256,12.0,12.0,103.0,107.0,133.0,139.0,1.0,5.0,7.0,12.0,105.0,136.0,0.3870967741935484,0.4117647058823529,0.5333333333333333,1.0,31.0,1.0,1.0
s0117,3,s0117__3,3,1003,0,32,256,256,13.0,23.0,90.0,114.0,99.0,142.0,11.0,25.0,44.0,18.902293120638085,102.69192422731804,126.66500498504486,0.6097513909883253,0.4027134283424237,0.49672550974527396,11.0,887.0,0.8843469591226321,1.0
s0119,1,s0119__1,1,2887,0,32,256,256,17.0,22.0,68.0,170.0,91.0,137.0,6.0,103.0,47.0,19.69310703152061,97.7655005195705,115.362313820575,0.6352615171458261,0.3833941196845902,0.4524012306689216,6.0,2039.0,0.7062694838933149,2.0
s0119,2,s0119__2,2,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0123,1,s0123__1,1,579,0,32,256,256,19.0,22.0,214.0,234.0,163.0,183.0,4.0,21.0,21.0,20.49050086355786,224.6873920552677,173.19343696027633,0.6609838988244471,0.8811270276677166,0.6791899488638288,4.0,512.0,0.8842832469775475,1.0
s0123,2,s0123__2,2,758,0,32,256,256,13.0,17.0,150.0,190.0,163.0,190.0,5.0,41.0,28.0,15.713720316622691,173.1688654353562,178.09762532981532,0.5068942037620223,0.6790935899425733,0.6984220601169228,5.0,750.0,0.9894459102902374,2.0
s0124,2,s0124__2,2,76,0,32,256,256,15.0,16.0,99.0,107.0,84.0,96.0,2.0,9.0,13.0,15.789473684210526,102.22368421052632,89.85526315789474,0.5093378607809848,0.4008771929824561,0.3523735810113519,2.0,76.0,1.0,1.0
s0128,1,s0128__1,1,10624,0,32,256,256,16.0,31.0,67.0,211.0,52.0,91.0,16.0,145.0,40.0,23.892978162650603,148.99717620481928,65.71771460843374,0.7707412310532453,0.5843026517836051,0.25771652787621074,15.0,6371.0,0.5996799698795181,3.0
s0128,2,s0128__2,2,5290,0,32,256,256,17.0,30.0,153.0,210.0,67.0,114.0,14.0,58.0,48.0,22.33459357277883,174.16219281663516,84.4491493383743,0.7204707604122202,0.6829889914377849,0.33117313466029136,12.0,3669.0,0.6935727788279773,4.0
s0131,1,s0131__1,1,73,0,32,256,256,22.0,25.0,63.0,185.0,90.0,122.0,4.0,123.0,33.0,23.438356164383563,90.64383561643835,102.9041095890411,0.7560760053026956,0.35546602202524846,0.4035455278001612,4.0,73.0,1.0,9.0
s0132,1,s0132__1,1,169168,0,32,256,256,0.0,31.0,94.0,216.0,85.0,194.0,32.0,123.0,110.0,14.711452520571266,169.80191289132696,144.64177622245342,0.474562984534557,0.665889854475792,0.5672226518527584,32.0,20368.0,0.12040102146978152,2.0
s0133,1,s0133__1,1,586,0,32,256,256,4.0,22.0,79.0,174.0,95.0,125.0,19.0,96.0,31.0,9.332764505119455,123.20477815699658,108.47440273037543,0.3010569195199824,0.4831559927725356,0.4253898146289233,15.0,585.0,0.9982935153583617,14.0
s0137,1,s0137__1,1,218,0,32,256,256,20.0,23.0,59.0,195.0,101.0,140.0,4.0,137.0,40.0,21.559633027522935,114.42660550458716,121.1743119266055,0.6954720331459011,0.44873178629249866,0.47519338010433526,3.0,218.0,1.0,6.0
s0139,1,s0139__1,1,204,0,32,256,256,7.0,9.0,127.0,136.0,77.0,96.0,3.0,10.0,20.0,8.357843137254902,131.59313725490196,86.65196078431373,0.2696078431372549,0.5160515186466743,0.33981161091887735,3.0,203.0,0.9950980392156863,1.0
s0141,2,s0141__2,2,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0141,3,s0141__3,3,1380,0,32,256,256,10.0,11.0,115.0,139.0,86.0,127.0,2.0,25.0,42.0,10.595652173913043,127.85217391304347,106.08840579710144,0.34179523141654977,0.501381074168798,0.4160329639102017,2.0,1380.0,1.0,1.0
s0143,1,s0143__1,1,87,0,32,256,256,26.0,26.0,100.0,108.0,119.0,132.0,1.0,9.0,14.0,26.0,103.94252873563218,126.19540229885058,0.8387096774193549,0.4076177597475772,0.49488393058372776,1.0,87.0,1.0,1.0
s0143,2,s0143__2,2,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0143,3,s0143__3,3,90,0,32,256,256,5.0,6.0,101.0,139.0,70.0,104.0,2.0,39.0,35.0,5.366666666666666,113.03333333333333,87.73333333333333,0.17311827956989245,0.44326797385620914,0.34405228758169937,2.0,90.0,1.0,4.0
s0146,1,s0146__1,1,259,0,32,256,256,13.0,15.0,93.0,136.0,126.0,197.0,3.0,44.0,72.0,14.617760617760618,103.62162162162163,156.55984555984557,0.4715406650890522,0.40635930047694757,0.613960178666061,3.0,259.0,1.0,4.0
s0146,2,s0146__2,2,17398,0,32,256,256,2.0,23.0,96.0,150.0,46.0,173.0,22.0,55.0,128.0,15.733705023565927,121.1134613173928,111.08759627543395,0.5075388717279331,0.4749547502642855,0.43563763245268217,22.0,7666.0,0.4406253592366939,1.0
s0146,3,s0146__3,3,68955,0,32,256,256,2.0,8.0,96.0,223.0,46.0,242.0,7.0,128.0,197.0,4.493118700601841,170.29287216300486,155.52809803495032,0.14493931292264003,0.6678151849529602,0.6099141099409816,7.0,30864.0,0.4475962584294105,1.0
s0146,4,s0146__4,4,64111,0,32,256,256,2.0,20.0,23.0,114.0,15.0,168.0,19.0,92.0,154.0,10.385565659559202,73.53009623933491,68.97234483941914,0.3350182470825549,0.28835331858562707,0.2704797836839966,19.0,19711.0,0.307451139430051,1.0
s0150,1,s0150__1,1,780,0,32,256,256,23.0,24.0,109.0,141.0,81.0,112.0,2.0,33.0,32.0,23.462820512820514,126.33461538461539,97.76025641025642,0.7568651778329198,0.4954298642533937,0.38337355455002514,2.0,780.0,1.0,10.0
s0150,2,s0150__2,2,124,0,32,256,256,25.0,28.0,148.0,195.0,153.0,189.0,4.0,48.0,37.0,26.024193548387096,177.33870967741936,166.84677419354838,0.8394901144640998,0.6954459203036053,0.6543010752688172,4.0,124.0,1.0,4.0
s0150,3,s0150__3,3,3797,0,32,256,256,18.0,25.0,48.0,172.0,73.0,140.0,8.0,125.0,68.0,23.978667368975508,68.58598893863577,93.8835923097182,0.7735053989992099,0.268964662504454,0.368170950234189,6.0,2690.0,0.708454042665262,4.0
s0151,1,s0151__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0151,2,s0151__2,2,64,0,32,256,256,7.0,7.0,128.0,135.0,109.0,119.0,1.0,8.0,11.0,7.0,131.5,114.0,0.22580645161290322,0.515686274509804,0.4470588235294118,1.0,64.0,1.0,1.0
s0152,2,s0152__2,2,139,0,32,256,256,20.0,22.0,115.0,137.0,172.0,186.0,3.0,23.0,15.0,21.035971223021583,130.40287769784172,178.92805755395685,0.678579716871664,0.5113838341091832,0.7016786570743406,3.0,139.0,1.0,3.0
s0152,4,s0152__4,4,6408,0,32,256,256,0.0,4.0,46.0,213.0,47.0,92.0,5.0,168.0,46.0,1.414481897627965,115.05852059925094,70.33411360799002,0.045628448310579516,0.4512098847029449,0.27582005336466675,5.0,5457.0,0.8515917602996255,2.0
s0153,2,s0153__2,2,646,0,32,256,256,0.0,3.0,141.0,167.0,167.0,203.0,4.0,27.0,37.0,1.6455108359133126,151.2879256965944,185.06656346749227,0.05308099470688105,0.5932859831238997,0.7257512292842834,4.0,646.0,1.0,2.0
s0156,2,s0156__2,2,390,0,32,256,256,0.0,3.0,84.0,99.0,97.0,107.0,4.0,16.0,11.0,1.3307692307692307,90.15384615384616,102.22820512820513,0.04292803970223325,0.35354449472096533,0.40089492207139266,4.0,277.0,0.7102564102564103,1.0
s0156,4,s0156__4,4,7723,0,32,256,256,5.0,31.0,54.0,199.0,70.0,170.0,27.0,146.0,101.0,21.28719409555872,134.1562864171954,112.51573222840865,0.6866836805018942,0.5261030839890015,0.44123816560160256,27.0,6841.0,0.8857956752557297,28.0
s0157,2,s0157__2,2,927,0,32,256,256,26.0,31.0,86.0,194.0,61.0,88.0,6.0,109.0,28.0,28.49730312837109,161.18770226537217,72.62243797195254,0.9192678428506803,0.6321086363347929,0.28479387439981385,6.0,854.0,0.9212513484358145,2.0
s0157,3,s0157__3,3,4465,0,32,256,256,28.0,31.0,104.0,167.0,80.0,135.0,4.0,64.0,56.0,29.922060470324748,137.78230683090706,107.82956326987681,0.96522775710725,0.54032277188591,0.42286103243088946,4.0,3593.0,0.8047032474804031,1.0
s0158,1,s0158__1,1,16,0,32,256,256,28.0,28.0,148.0,152.0,107.0,110.0,1.0,5.0,4.0,28.0,150.0,108.5,0.9032258064516129,0.5882352941176471,0.42549019607843136,1.0,16.0,1.0,1.0
s0158,2,s0158__2,2,314,0,32,256,256,0.0,3.0,148.0,175.0,134.0,147.0,4.0,28.0,14.0,1.5477707006369428,159.71337579617835,141.01592356687897,0.04992808711732073,0.6263269639065818,0.5530036218308979,4.0,310.0,0.9872611464968153,1.0
s0160,1,s0160__1,1,549,0,32,256,256,0.0,31.0,39.0,209.0,52.0,141.0,32.0,171.0,90.0,18.120218579234972,127.0455373406193,90.75227686703097,0.5845231799753217,0.49821779349262474,0.355891281831494,16.0,528.0,0.9617486338797814,12.0
s0160,2,s0160__2,2,29,0,32,256,256,3.0,5.0,158.0,165.0,116.0,130.0,3.0,8.0,15.0,4.0344827586206895,161.75862068965517,122.96551724137932,0.13014460511679643,0.6343475321162948,0.48221771467207575,2.0,29.0,1.0,2.0
s0160,3,s0160__3,3,332,0,32,256,256,27.0,31.0,174.0,196.0,100.0,119.0,5.0,23.0,20.0,29.40963855421687,185.29819277108433,109.99096385542168,0.9486980178779635,0.7266595794944484,0.4313371131585164,5.0,332.0,1.0,1.0
s0161,1,s0161__1,1,370,0,32,256,256,20.0,21.0,76.0,99.0,116.0,130.0,2.0,24.0,15.0,20.483783783783785,88.68108108108108,124.29729729729729,0.6607672188317351,0.3477689454160042,0.4874403815580286,2.0,370.0,1.0,1.0
