case_id,z,z_next,sim
s0021,29,30,0.7571804397915374
s0021,30,31,0.7566506207107873
s0024,0,1,0.6978029467459349
s0024,1,2,0.7319721210537681
s0024,2,3,0.7113307445197419
s0024,3,4,0.6841716590426176
s0024,4,5,0.6641693204780513
s0024,5,6,0.6658222950335324
s0024,6,7,0.6945698430894218
s0024,7,8,0.7086651470945263
s0024,8,9,0.684364618300186
s0024,9,10,0.6809967626275194
s0024,10,11,0.6599142953421968
s0024,11,12,0.6560753450552358
s0024,12,13,0.6683314697415149
s0024,13,14,0.6474805749194084
s0024,14,15,0.6546959621996842
s0024,15,16,0.6452609727462879
s0024,16,17,0.6411442813012614
s0024,17,18,0.6664069805949523
s0024,18,19,0.6572361728303732
s0024,19,20,0.6563713467673964
s0024,20,21,0.6032858588743926
s0024,21,22,0.5559649084605852
s0024,22,23,0.5758630639690095
s0024,23,24,0.5573086295542817
s0024,24,25,0.5363098930460238
s0024,25,26,0.5576423039503852
s0024,26,27,0.5826714790417742
s0024,27,28,0.5966729144858194
s0024,28,29,0.5853129443797915
s0024,29,30,0.566559052705865
s0024,30,31,0.5830669107678508
s0028,0,1,0.7454976845439687
s0028,1,2,0.7280911876699866
s0028,2,3,0.752833145641204
s0028,3,4,0.7522545096365776
s0028,4,5,0.7394793521069585
s0028,5,6,0.7672185801571934
s0028,6,7,0.7323170448527881
s0028,7,8,0.7200486674637392
s0028,8,9,0.7500023931562606
s0028,9,10,0.7604362228471256
s0028,10,11,0.8180104556309277
s0028,11,12,0.8154033173980081
s0028,12,13,0.7928705447442783
s0028,13,14,0.7802592562663785
s0028,14,15,0.7824864691397252
s0028,15,16,0.779314964806555
s0028,16,17,0.7971309512246401
s0028,17,18,0.797525295002944
s0028,18,19,0.7881444810824655
s0028,19,20,0.7481745764562039
s0028,20,21,0.7300099192573641
s0028,21,22,0.719663660533875
s0028,22,23,0.7465162592870288
s0028,23,24,0.7468622368075761
s0028,24,25,0.7199459352347567
s0028,25,26,0.7078446011758925
s0028,26,27,0.6887337486307956
s0028,27,28,0.6853800615204485
s0028,28,29,0.7027218435774706
s0028,29,30,0.6872416818975658
s0028,30,31,0.687997630318917
s0029,0,1,0.8468480475732217
s0029,1,2,0.8172671936243129
s0029,2,3,0.792248670990048
s0029,3,4,0.7323294078469189
s0029,4,5,0.7697191680168908
s0029,5,6,0.7954459816183469
s0029,6,7,0.7895378491224773
s0029,7,8,0.7604861801526499
s0029,8,9,0.7466514410382655
s0029,9,10,0.7308322838704187
s0029,10,11,0.7330198409308077
s0029,11,12,0.7681262629719654
s0029,12,13,0.7950482837986593
s0029,13,14,0.7770798653615323
s0029,14,15,0.7604975526116191
s0029,15,16,0.725002252118275
s0029,16,17,0.7163614311694196
s0029,17,18,0.7642600920431526
s0029,18,19,0.7820406432950338
s0029,19,20,0.7212121138877583
s0029,20,21,0.7232651041075998
s0029,21,22,0.7366313972555931
s0029,22,23,0.7177387726660985
s0029,23,24,0.6973484897214745
s0029,24,25,0.688063553450135
s0029,25,26,0.6989423585971358
s0029,26,27,0.6808206928919245
s0029,27,28,0.6730843110981781
s0029,28,29,0.662510049739707
s0029,29,30,0.6920160037742197
s0029,30,31,0.6942352488224743
s0034,0,1,0.8285820608673929
s0034,1,2,0.8326508541917662
s0034,2,3,0.8427671587664332
s0034,3,4,0.8209808381990479
s0034,4,5,0.8114496885097424
s0034,5,6,0.8022875257781767
s0034,6,7,0.7838065239315555
s0034,7,8,0.7711402918644981
s0034,8,9,0.8091330943907056
s0034,9,10,0.7860084941835976
s0034,10,11,0.7809045200064298
s0034,11,12,0.7786025969507068
s0034,12,13,0.7562869906780638
s0034,13,14,0.7717447011042731
s0034,14,15,0.7769835069009913
s0034,15,16,0.7759452377866397
s0034,16,17,0.7867829880614367
s0034,17,18,0.7941593375207822
s0034,18,19,0.8093239047287466
s0034,19,20,0.8188077649396327
s0034,20,21,0.8117732018926591
s0034,21,22,0.8207040305440936
s0034,22,23,0.8118724281065044
s0034,23,24,0.8082429588606209
s0034,24,25,0.8124957699722424
s0034,25,26,0.7639717536790677
s0034,26,27,0.7471994683010992
s0034,27,28,0.7488292424404286
s0034,28,29,0.7426914157745412
s0034,29,30,0.753777410826046
s0034,30,31,0.7445234978819047
s0037,0,1,0.5999321906044045
s0037,1,2,0.6235006020888667
s0037,2,3,0.6181977692164273
s0037,3,4,0.6211429790953668
s0037,4,5,0.6276068196604597
s0037,5,6,0.65196297392502
s0037,6,7,0.6261668366645873
s0037,7,8,0.6175351489058315
s0037,8,9,0.5949336211670533
s0037,9,10,0.6010778298232796
s0037,10,11,0.614972142939945
s0037,11,12,0.6126559005698116
s0037,12,13,0.5890993918652869
s0037,13,14,0.5927379286515584
s0037,14,15,0.595669531911805
s0037,15,16,0.5916322912881008
s0037,16,17,0.5832968279492383
s0037,17,18,0.5675307431352878
s0037,18,19,0.5748641312994924
s0037,19,20,0.5812422268519937
s0037,20,21,0.5694744768585072
s0037,21,22,0.5261094594817145
s0037,22,23,0.5280493852369744
s0037,23,24,0.5460414438509562
s0037,24,25,0.5685072126554283
s0037,25,26,0.5673952129376589
s0037,26,27,0.5535306666482105
s0037,27,28,0.534842976997741
s0037,28,29,0.5231580941121191
s0037,29,30,0.468993290666844
s0037,30,31,0.5057882538580412
s0038,0,1,0.689548457616756
s0038,1,2,0.6960771852624653
s0038,2,3,0.7216650677622067
s0038,3,4,0.7381085003807752
s0038,4,5,0.7447114152540588
s0038,5,6,0.7681110062788424
s0038,6,7,0.7849728296995163
s0038,7,8,0.7714285214193389
s0038,8,9,0.7528534432471871
s0038,9,10,0.7294507143616424
s0038,10,11,0.715249016568573
s0038,11,12,0.7116458990497231
s0038,12,13,0.7180219150810526
s0038,13,14,0.7346483573244442
s0038,14,15,0.7427094369103863
s0038,15,16,0.7432364072383072
s0038,16,17,0.7244472928315727
s0038,17,18,0.7331288889426507
s0038,18,19,0.7726285569560494
s0038,19,20,0.7736319129818492
s0038,20,21,0.7598389373416704
s0038,21,22,0.7798489878641938
s0038,22,23,0.777284748335452
s0038,23,24,0.7902998815887893
s0038,24,25,0.7907778532345479
s0038,25,26,0.7885589061667135
s0038,26,27,0.7957746252223216
s0038,27,28,0.7589125497675803
s0038,28,29,0.7176443561896381
s0038,29,30,0.7044725185780569
s0038,30,31,0.7051222856135562
s0040,0,1,0.7532795841278498
s0040,1,2,0.7583302158573128
s0040,2,3,0.7838530109544554
s0040,3,4,0.8078190608677325
s0040,4,5,0.7978706708778541
s0040,5,6,0.7530684060433465
s0040,6,7,0.7374479080882592
s0040,7,8,0.7303737002224672
s0040,8,9,0.7265395499553008
s0040,9,10,0.7384547202476955
s0040,10,11,0.7683619823976631
s0040,11,12,0.7541736735147373
s0040,12,13,0.7377826934189357
s0040,13,14,0.731504552349344
s0040,14,15,0.7345287262242548
s0040,15,16,0.7463547938768619
s0040,16,17,0.7464912064947341
s0040,17,18,0.7463998971800074
s0040,18,19,0.7533740183472971
s0040,19,20,0.7037303949496306
s0040,20,21,0.7165476569942529
s0040,21,22,0.7411922748050814
s0040,22,23,0.743236810137569
s0040,23,24,0.7085152402545161
s0040,24,25,0.6766552907859028
s0040,25,26,0.6492770144064044
s0040,26,27,0.6512780154398458
s0040,27,28,0.6481400419305993
s0040,28,29,0.6644884478822752
s0040,29,30,0.6592580498729824
s0040,30,31,0.6448427553729555
s0043,0,1,0.4788596694360558
s0043,1,2,0.5455673535025602
s0043,2,3,0.6711231500856834
s0043,3,4,0.7216459449446225
s0043,4,5,0.7821125425220241
s0043,5,6,0.7843467864251966
s0043,6,7,0.7947498317239322
s0043,7,8,0.7971304769581601
s0043,8,9,0.7975116078661111
s0043,9,10,0.7973754004469378
s0043,10,11,0.8080240296295076
s0043,11,12,0.8405207736010428
s0043,12,13,0.8619849852252471
s0043,13,14,0.8927180491584525
s0043,14,15,0.8796631724018883
s0043,15,16,0.8376414444036719
s0043,16,17,0.8326684194146657
s0043,17,18,0.8306258972957025
s0043,18,19,0.7725520832537837
s0043,19,20,0.741502500522312
s0043,20,21,0.7459890545577125
s0043,21,22,0.7650761173080276
s0043,22,23,0.7506279518023129
s0043,23,24,0.7699666068328022
s0043,24,25,0.8462723832492666
s0043,25,26,0.8914695995284498
s0043,26,27,0.882415359228896
s0043,27,28,0.8353505751028882
s0043,28,29,0.870137117830101
s0043,29,30,0.758283442527008
s0043,30,31,0.47041546155319003
s0044,0,1,0.648541295700114
s0044,1,2,0.6037533030165672
s0044,2,3,0.5369804214280772
s0044,3,4,0.5685009483747813
s0044,4,5,0.6543690203747043
s0044,5,6,0.6646797980596689
s0044,6,7,0.6619086135959091
s0044,7,8,0.7097457121429983
s0044,8,9,0.7099718189725676
s0044,9,10,0.697061815641281
s0044,10,11,0.7329030374394426
s0044,11,12,0.7506868884415763
s0044,12,13,0.7350099799546749
s0044,13,14,0.7643374034410678
s0044,14,15,0.7842777021311661
s0044,15,16,0.8257903407929128
s0044,16,17,0.8328501840761662
s0044,17,18,0.8081515672151288
s0044,18,19,0.8193647876121238
s0044,19,20,0.8343726120384952
s0044,20,21,0.8115909454409166
s0044,21,22,0.8343323374804382
s0044,22,23,0.8276920341151994
s0044,23,24,0.8024390531759598
s0044,24,25,0.7548518264081089
s0044,25,26,0.7049235455746757
s0044,26,27,0.7161604501952394
s0044,27,28,0.6916575099740389
s0044,28,29,0.6786471599777983
s0044,29,30,0.6653708192562873
s0044,30,31,0.696637177578072
s0046,0,1,0.7535638494432689
s0046,1,2,0.7669602289576198
s0046,2,3,0.7414107376433194
s0046,3,4,0.7275535962527266
s0046,4,5,0.6889705031910048
s0046,5,6,0.6718600323210369
s0046,6,7,0.6527560009548924
s0046,7,8,0.650508455516973
s0046,8,9,0.6570945461538003
s0046,9,10,0.6615778618611651
s0046,10,11,0.6629733000241879
s0046,11,12,0.6582547314585263
s0046,12,13,0.6510064813440477
s0046,13,14,0.6549950866527023
s0046,14,15,0.6625767699420815
s0046,15,16,0.6543319268279976
s0046,16,17,0.6378595215210927
s0046,17,18,0.6560214992321849
s0046,18,19,0.6545924301957109
s0046,19,20,0.6503035634733266
s0046,20,21,0.6429129795683591
s0046,21,22,0.6523741179504574
s0046,22,23,0.6495106418313261
s0046,23,24,0.6319846963575722
s0046,24,25,0.6449060012111952
s0046,25,26,0.620683054323523
s0046,26,27,0.6281101158404974
s0046,27,28,0.6393843207853801
s0046,28,29,0.6309005268033522
s0046,29,30,0.6181444828817745
s0046,30,31,0.6300051009133945
s0050,0,1,0.5508693997544024
s0050,1,2,0.6929331954074076
s0050,2,3,0.7184092839577779
s0050,3,4,0.7188320696250612
s0050,4,5,0.6785181697609614
s0050,5,6,0.637400099610785
s0050,6,7,0.6084367567800263
s0050,7,8,0.5994547852756409
s0050,8,9,0.6364840602876497
s0050,9,10,0.7032280243015131
s0050,10,11,0.7197462989093347
s0050,11,12,0.7335265313359889
s0050,12,13,0.7263890547859885
s0050,13,14,0.73345165753698
s0050,14,15,0.7566560303608885
s0050,15,16,0.7581346397225528
s0050,16,17,0.7168743005593575
s0050,17,18,0.6917908501193454
s0050,18,19,0.6324046658103819
s0050,19,20,0.6244150396788509
s0050,20,21,0.6281921492626297
s0050,21,22,0.6705339862312557
s0050,22,23,0.6702671775267557
s0050,23,24,0.6446400979374466
s0050,24,25,0.6176135765992335
s0050,25,26,0.6027251727188176
s0050,26,27,0.605736742065674
s0050,27,28,0.5610437492597968
s0050,28,29,0.5534785516208596
s0050,29,30,0.524288189397521
s0050,30,31,0.5069814917574393
s0056,0,1,0.6237863848303106
s0056,1,2,0.6354918733508357
s0056,2,3,0.6240280564236702
s0056,3,4,0.6081425033761275
s0056,4,5,0.6222983662642536
s0056,5,6,0.6631416888847235
s0056,6,7,0.6731842198702552
s0056,7,8,0.6923528880519839
s0056,8,9,0.7324157684561997
s0056,9,10,0.7274505943702423
s0056,10,11,0.7672516111164421
s0056,11,12,0.7256102598078809
s0056,12,13,0.7364639860675456
s0056,13,14,0.7165041882022911
s0056,14,15,0.7118909660230938
s0056,15,16,0.7298925661064987
s0056,16,17,0.7493079636525449
s0056,17,18,0.818446450093154
s0056,18,19,0.8702866080965788
s0056,19,20,0.8738876746756733
s0056,20,21,0.8638962860342262
s0056,21,22,0.8496152055949251
s0056,22,23,0.8404082770113565
s0056,23,24,0.8308405165579023
s0056,24,25,0.7829199647835531
s0056,25,26,0.7568390074634385
s0056,26,27,0.7783416500373446
s0056,27,28,0.766502993395813
s0056,28,29,0.7795686414102332
s0056,29,30,0.7908914558752007
s0056,30,31,0.8168588996158969
s0057,0,1,0.7656463915859261
s0057,1,2,0.7888828427037292
s0057,2,3,0.7716470569023867
s0057,3,4,0.7663665852789301
s0057,4,5,0.7764914443281471
s0057,5,6,0.7849639613172626
s0057,6,7,0.7709745407872358
s0057,7,8,0.7665708868454639
s0057,8,9,0.7583068484617723
s0057,9,10,0.7563090162191135
s0057,10,11,0.7628301711655855
s0057,11,12,0.7433031572190018
s0057,12,13,0.7340026767239428
s0057,13,14,0.7621039693148535
s0057,14,15,0.7618112113969239
s0057,15,16,0.7717314166900535
s0057,16,17,0.7478995503354886
s0057,17,18,0.7360116578451749
s0057,18,19,0.7294277323783133
s0057,19,20,0.7392218452604393
s0057,20,21,0.7313273237358456
s0057,21,22,0.728529083540452
s0057,22,23,0.7273642660144312
s0057,23,24,0.7322522583822584
s0057,24,25,0.7400398929177608
s0057,25,26,0.709937620722664
s0057,26,27,0.6990680617966392
s0057,27,28,0.68921909652905
s0057,28,29,0.6759210324454978
s0057,29,30,0.690910138579256
s0057,30,31,0.6801630840200277
s0058,0,1,0.7009713136146632
s0058,1,2,0.691937953150021
s0058,2,3,0.6752727521352526
s0058,3,4,0.6614910677893874
s0058,4,5,0.6709031820158422
s0058,5,6,0.6974134508868665
s0058,6,7,0.7012177358101813
s0058,7,8,0.7016113797125296
s0058,8,9,0.6904632072258436
s0058,9,10,0.6878318677979828
s0058,10,11,0.6835286590106542
s0058,11,12,0.7023657395422177
s0058,12,13,0.7260371945417543
s0058,13,14,0.7339070373056708
s0058,14,15,0.7383662115673456
s0058,15,16,0.7406723197310425
s0058,16,17,0.7348230850221287
s0058,17,18,0.7257217954519277
s0058,18,19,0.7222290279269952
s0058,19,20,0.6978605845469316
s0058,20,21,0.678686790429717
s0058,21,22,0.6761900316609892
s0058,22,23,0.7025915007613562
s0058,23,24,0.7107119502666351
s0058,24,25,0.7226698804487757
s0058,25,26,0.730144464392429
s0058,26,27,0.7216032286897907
s0058,27,28,0.7000925808672689
s0058,28,29,0.6673995781435254
s0058,29,30,0.6754356742376405
s0058,30,31,0.6938574564836373
s0059,0,1,0.7050792537409298
s0059,1,2,0.6771995575802306
s0059,2,3,0.6720140600721501
s0059,3,4,0.6920707299525601
s0059,4,5,0.6118570976916947
s0059,5,6,0.6469381018033901
s0059,6,7,0.6380285223433068
s0059,7,8,0.6099944205675688
s0059,8,9,0.5946336815314048
s0059,9,10,0.5947231156783168
s0059,10,11,0.6460415716045373
s0059,11,12,0.6783949282565179
s0059,12,13,0.671993513083727
s0059,13,14,0.67072638545546
s0059,14,15,0.672645409963933
s0059,15,16,0.6867032663458523
s0059,16,17,0.6934946815528142
s0059,17,18,0.6721649176621264
s0059,18,19,0.6756504915500833
s0059,19,20,0.7185999032199071
s0059,20,21,0.7358788351688401
s0059,21,22,0.7159270649191721
s0059,22,23,0.6792078645949959
s0059,23,24,0.6687409844484967
s0059,24,25,0.6657096614172654
s0059,25,26,0.6345804511595193
s0059,26,27,0.6284754112544402
s0059,27,28,0.6365010848132707
s0059,28,29,0.6273505615315523
s0059,29,30,0.6016745113168822
s0059,30,31,0.5591127256769859
s0061,0,1,0.7171838106205627
s0061,1,2,0.5804534756488822
s0061,2,3,0.5392561002643085
s0061,3,4,0.6585367145654387
s0061,4,5,0.6455368369964579
s0061,5,6,0.6578406868718331
s0061,6,7,0.6611212946085316
s0061,7,8,0.66129916396114
s0061,8,9,0.6703467108387658
s0061,9,10,0.6766265169572399
s0061,10,11,0.6616280337326657
s0061,11,12,0.6660116515537856
s0061,12,13,0.6797636984231635
s0061,13,14,0.6183506032232239
s0061,14,15,0.6730078847871336
s0061,15,16,0.7156664080627142
s0061,16,17,0.7064310668458872
s0061,17,18,0.8089570859970744
s0061,18,19,0.8872888831426109
s0061,19,20,0.8837276570169541
s0061,20,21,0.8769234272097985
s0061,21,22,0.8887003500462952
s0061,22,23,0.8820168412052228
s0061,23,24,0.8589119621564592
s0061,24,25,0.8360481294450047
s0061,25,26,0.7996146056511719
s0061,26,27,0.7817662500045363
s0061,27,28,0.7928482210756622
s0061,28,29,0.6733176543178707
s0061,29,30,0.6211006186466855
s0061,30,31,0.7000273456228939
s0063,0,1,0.9999953757944107
s0063,1,2,0.992652291357994
s0063,2,3,0.11332520225554815
s0063,3,4,0.5704382501645542
s0063,4,5,0.5820575648610327
s0063,5,6,0.6079504635270928
s0063,6,7,0.6077973179875636
s0063,7,8,0.6088129708141259
s0063,8,9,0.5872646562116316
s0063,9,10,0.5890419543581489
s0063,10,11,0.6104307289786124
s0063,11,12,0.6533553243582787
s0063,12,13,0.6959185584025482
s0063,13,14,0.7201130807038129
s0063,14,15,0.7180623777167192
s0063,15,16,0.7111470478865853
s0063,16,17,0.704726433280759
s0063,17,18,0.7047187317944367
s0063,18,19,0.7727712761652397
s0063,19,20,0.8524774035556799
