template,count
could there be any,2
what could cause an,2
please segment the multiple,2
where is the metal,2
what area shows abnormal,2
where does the possible,2
please identify where the,2
could you segment and,2
what region could be,2
is there an indication,2
where is the emphysema,2
where does the high,2
if there is an,2
are there any fluid,2
what is the potential,2
what potential risk factors,2
where are the calcified,2
are there any significant,2
where are the small,2
if there is a,2
where are the calcification,2
what area might be,2
considering the location and,2
where is the fluid,2
which region shows signs,2
is there an abnormal,2
where do the non,2
in which area can,2
is there a visible,2
is there any normal,2
in this case what,2
where is the low,2
if there s an,2
what could potentially cause,2
considering common lung conditions,2
where is the cyst,2
please identify the location,2
where does the catheter,2
what areas might indicate,2
where is the dilation,2
where are the widespread,2
where are the extensive,2
in this image where,2
are there any additional,2
where do you observe,1
where do the atherosclerotic,1
given the report can,1
are there any high,1
given the report s,1
in which organ can,1
which organ has an,1
are there any nodules,1
considering the report which,1
where is the fibrillar,1
what area is affected,1
considering the reported finding,1
what abnormality is suggested,1
is it necessary to,1
considering common age related,1
where does the patchy,1
where is the catheter,1
in which regions does,1
how might a post,1
what type of renal,1
where is the gallbladder,1
where are the large,1
where are the strip,1
where is the pouch,1
what abnormality was observed,1
is the lesion found,1
are there any observable,1
which vessel in the,1
where is the location,1
which arterial segment is,1
where do the calcified,1
where can the non,1
given the provided information,1
if there s any,1
is there any possibility,1
which area s might,1
can you identify areas,1
where is the reduced,1
where does fluid accumulation,1
what area could potentially,1
where does the emphysema,1
where does emphysema manifest,1
considering the report can,1
given the diagnosis can,1
how can emphysema affect,1
in the image where,1
if there s a,1
if the patient eats,1
where is the calcified,1
is there a change,1
how does this specific,1
is there a region,1
how would you identify,1
where is the l4,1
which segment in the,1
please segment the abnormal,1
where can the linear,1
based on the abnormality,1
where are the irregular,1
please locate the lung,1
where are the peripelvic,1
are the peripelvic cysts,1
are there any renal,1
where does the postoperative,1
what region might require,1
where can the high,1
given that atelectasis has,1
considering the reported condition,1
considering the characteristics described,1
what areas might require,1
where does the thickening,1
which area shows signs,1
where are the metal,1
based on your medical,1
what are some possible,1
what could be a,1
if the round low,1
where can the uneven,1
how might this uneven,1
what type of plaque,1
are there any visually,1
what area shows an,1
where is the mild,1
what area could be,1
in which joint can,1
given that the patient,1
considering the medical context,1
how might the patient,1
given the potential risk,1
in order to evaluate,1
given the calcification foci,1
how could the straightening,1
given that calcification indicates,1
could you identify a,1
which lung lobe s,1
please segment the linear,1
what could cause high,1
what regions within the,1
in which region does,1
which areas suggest the,1
what regions should be,1
given the report which,1
considering the location of,1
is there any lesion,1
what region might indicate,1
could the observed finding,1
are the enlarged lymph,1
what organs might be,1
what type of anomaly,1
where do the calcification,1
taking into account common,1
which lung has more,1
considering that lymph node,1
is there a lesion,1
please locate the area,1
what abnormality in the,1
where is the slightly,1
please segment where branch,1
where is the slender,1
how might the slender,1
are there any similarities,1
considering the presence of,1
given that chronic foci,1
which area may cause,1
where is the ascites,1
what region shows a,1
if the nodule was,1
what indicates potential inflammation,1
where does the lesion,1
which organ appears to,1
where is the circumflex,1
given the hardening in,1
where is the slight,1
is there any correlation,1
where do the metal,1
what area of interest,1
where in the image,1
given the description of,1
where does the fat,1
where is the tubular,1
where is the skull,1
where are the chronic,1
where do the gallstones,1
which organ has a,1
where does the local,1
how could this calcified,1
is there any suspicious,1
where can we locate,1
can you differentiate between,1
where are the spotty,1
given the report suggesting,1
where is the liver,1
in which kidney does,1
based on your observation,1
considering the postoperative status,1
in which regions of,1
what abnormal finding suggests,1
where are the retroperitoneal,1
in this image how,1
please segment the suspected,1
based on the provided,1
is there any known,1
what potential symptoms may,1
what might cause calcification,1
are there any indicators,1
please segment the grade,1
which spinal segment shows,1
how does the degeneration,1
is there any vertebral,1
where is the nodule,1
how can one differentiate,1
what region exhibits an,1
which area might require,1
given the provided diagnostic,1
considering the report s,1
given the catheter position,1
what could potentially indicate,1
which area s may,1
please segment where multiple,1
are there any calcified,1
which areas of the,1
what area shows a,1
which region exhibits emphysema,1
in which lung can,1
where does the degenerative,1
please segment where l3,1
which area shows changes,1
are there areas in,1
where are the intraluminal,1
could the presence of,1
where is the cystic,1
is there any sign,1
given the finding of,1
how does the density,1
what potential health implications,1
please segment the lymph,1
is there an irregular,1
which organ has multiple,1
where is the significant,1
could you segment a,1
are there any lesions,1
could the identified renal,1
where is the local,1
is there any connection,1
if we were concerned,1
is there any inflammation,1
where does the l5,1
what area are we,1
considering the information available,1
where do the mitral,1
what abnormality is present,1
which regions exhibit signs,1
please highlight the region,1
what is an indication,1
in the provided image,1
could you outline the,1
considering the description provided,1
which area might indicate,1
considering the size and,1
where are the arteriosclerotic,1
where can the adrenal,1
please identify the region,1
which area could require,1
where is the fullness,1
where in the liver,1
which endocrine organ shows,1
considering common bone abnormalities,1
could there be an,1
where does suspected cervical,1
what structural change might,1
if a treatment involves,1
what area should receive,1
what type of cardiovascular,1
where is the suspected,1
what is the likely,1
considering common renal pathologies,1
if there are regions,1
given the observed dilation,1
what might be responsible,1
where does the short,1
considering the provided diagnostic,1
which organ might require,1
which region of the,1
how can we identify,1
where does the clear,1
what area could indicate,1
please segment the possible,1
given the reported protuberance,1
can you identify an,1
how might this high,1
where can the calcified,1
what abnormal structure suggests,1
what area shows evidence,1
based on the reported,1
which lung lobe displays,1
which area appears to,1
where are the lesions,1
in which region might,1
how could you differentiate,1
are there any non,1
where do the abnormal,1
in which organ could,1
where does the inguinal,1
where is the accumulation,1
given the reported abnormality,1
what lesion area might,1
where does the pleural,1
what indicates changes after,1
which region shows a,1
where are the areas,1
where is the decreased,1
which anatomical structures exhibit,1
where are the atherosclerotic,1
what indicates potential arterial,1
where is the postoperative,1
where does the cervical,1
where is the wedge,1
in which vertebra can,1
considering medical knowledge can,1
where is the esophageal,1
considering medical knowledge about,1
where are the enlarged,1
in which region around,1
considering the image findings,1
considering the given information,1
where can lip like,1
in which location does,1
what might contribute to,1
in this image which,1
given the nature of,1
are there any findings,1
based on the description,1
where are the nodules,1
given the follow up,1
what is the size,1
what abnormal finding in,1
is there any identifiable,1
in which region could,1
where is the herniated,1
where is the cervical,1
please segment the thickening,1
where is the pericardium,1
what might cause pericardial,1
are there any locations,1
given that the boundary,1
are there any symptoms,1
considering common lung pathologies,1
where are the <lat>,1
where are the glassy,1
what area may require,1
is there any deviation,1
please segment the nodular,1
in this case which,1
where does the dilation,1
where is the subpleural,1
what area should a,1
please segment the nodules,1
what could lead to,1
considering the report findings,1
where does the unusual,1
which side of the,1
what type of intervention,1
please segment the spot,1
where are the benign,1
if we were to,1
where is the liquid,1
how does the location,1
where is the leaf,1
what region has blurred,1
are there any sections,1
are there any differences,1
given the size and,1
where does the <lat>,1
what region displays a,1
considering common locations for,1
where is the subcutaneous,1
what region should be,1
what regions might indicate,1
what type of cyst,1
where can the <lat>,1
in which region do,1
what potential renal related,1
given your knowledge of,1
what kind of cardiac,1
what might cause an,1
which region might have,1
in which vessel does,1
what structure could potentially,1
where can parapneumonic emphysema,1
what could cause widespread,1
where does the liver,1
are there any foreign,1
what is considered as,1
what is an unusual,1
why might there be,1
where is the pelvic,1
which area has unclear,1
where is the l1,1
which spinal region is,1
could you highlight and,1
given that multiple round,1
which renal abnormality appears,1
what might indicate an,1
where does the small,1
given the general knowledge,1
is there a need,1
what abnormality is observed,1
considering the characteristics of,1
what is the appearance,1
could you differentiate between,1
where is the common,1
could the dilation of,1
how might this focal,1
where is the atrophied,1
what might have caused,1
where is the renal,1
what area would require,1
where is the degenerative,1
which anatomical structure is,1
given the provided report,1
where is the <lat>,1
what abnormal finding could,1
which regions in the,1
could these high density,1
what might have led,1
where are the visible,1
can you show me,1
are there any known,1
where is the abnormality,1
considering the possibility of,1
are there any anatomical,1
where does the uneven,1
where do you suspect,1
what abnormality stands out,1
which abdominal region might,1
what is the location,1
where are the suspected,1
where are the fine,1
where is the thickening,1
is there a significant,1
where is suspected cervical,1
which region might experience,1
where can the irregular,1
in which vessels do,1
where does the irregularity,1
which region may require,1
where is the metallic,1
what is the cause,1
where is the non,1
