template,count
considering the description provided can,1
which area might indicate the,1
if there is a mass,1
where can we find multiple,1
where is the suspicious malignant,1
are there any abnormalities that,1
considering the size and shape,1
could you segment the multiple,1
where are the arteriosclerotic changes,1
can you segment the regions,1
where can the adrenal gland,1
can you locate the areas,1
please identify the region where,1
are there any noticeable changes,1
where are the calcification spots,1
which area could require further,1
where is the fullness and,1
where in the liver does,1
which endocrine organ shows signs,1
considering common bone abnormalities can,1
based on the image please,1
what area might be causing,1
could there be an issue,1
please segment where the lip,1
where does suspected cervical spondylosis,1
what structural change might contribute,1
if a treatment involves immobilizing,1
can you identify the part,1
what area should receive further,1
can you segment the small,1
is there any other finding,1
are there any structures in,1
what type of cardiovascular disease,1
please segment where the renal,1
where is the suspected renal,1
are there any potential renal,1
considering the location and characteristics,1
what is the likely cause,1
considering common renal pathologies can,1
what might cause the abnormal,1
please locate and segment any,1
based on the report can,1
if there are regions exhibiting,1
given the observed dilation of,1
where are the multiple low,1
what might be responsible for,1
where does the short stripe,1
could you identify the postoperative,1
considering the provided diagnostic report,1
what part of the endocrine,1
considering the location and appearance,1
which organ might require medical,1
which region of the body,1
how can we identify if,1
where does the clear margin,1
where can we observe possible,1
what area could indicate inflammation,1
please segment the possible cyst,1
which part of the prostate,1
if there is any region,1
given the reported protuberance in,1
please segment where the aneurysm,1
what part of the cardiovascular,1
where are the calcified nodules,1
can you identify an area,1
could you pinpoint the area,1
how might this high density,1
are there any structures that,1
where can the calcified nodules,1
in which area can the,1
given the diagnosis of fatty,1
what abnormal structure suggests a,1
are there any areas suggesting,1
what area shows evidence of,1
based on the reported abnormality,1
which lung lobe displays signs,1
please segment where the incomplete,1
is there a visible pattern,1
which area appears to have,1
where are the lesions located,1
given the presence of bronchiectasis,1
in which region might mucus,1
please segment where the dense,1
could you segment the identified,1
what area might be indicative,1
can you segment the solitary,1
if there is any possible,1
please segment where the circling,1
in this case what area,1
please segment where the compression,1
how could you differentiate between,1
are there any other conditions,1
are there any specific regions,1
is it possible to determine,1
given the presence of coronary,1
are there any non enhancing,1
where do the abnormal nodules,1
could you identify any unusual,1
are there any potential health,1
could you segment the potential,1
in which organ could these,1
where does the inguinal hernia,1
what could cause the slight,1
are there any other common,1
where is the accumulation of,1
is there any possible risk,1
what part of the sternum,1
which part of the sternum,1
given the reported abnormality can,1
could you pinpoint the region,1
what lesion area might indicate,1
where does the pleural effusion,1
in which region can the,1
based on medical knowledge please,1
based on your analysis please,1
can you segment the dense,1
where are the multiple exudates,1
what indicates changes after aortic,1
which region shows a low,1
what area in the thyroid,1
considering common medical knowledge about,1
where are the areas of,1
what areas in the kidneys,1
where is the decreased density,1
can you segment the vertebrae,1
which anatomical structures exhibit unusual,1
where are the atherosclerotic calcification,1
what indicates potential arterial stiffness,1
if there s an area,1
where is the postoperative <lat>,1
in this ct image where,1
where is the emphysema change,1
what region in the lungs,1
what might cause the increase,1
where does the cervical lordosis,1
please segment where the poor,1
what area of the image,1
where is the wedge shaped,1
in which vertebra can we,1
which part of the spine,1
considering medical knowledge can you,1
where is the esophageal hiatal,1
are there any regions showing,1
considering medical knowledge about abdominal,1
where are the enlarged lymph,1
in which region around the,1
considering the image findings which,1
please segment where the local,1
considering the given information can,1
in this case what region,1
where can lip like changes,1
in which location does sequence,1
what might contribute to restricted,1
in this image which area,1
in which area can we,1
given the nature of the,1
what might cause a nodular,1
if there is an accumulation,1
please identify where the pleural,1
could you highlight the potential,1
are there any findings that,1
based on the description what,1
where are the nodules located,1
given the follow up nature,1
what is the size of,1
please segment where the cyst,1
is there an abnormality present,1
what abnormal finding in the,1
is there any identifiable area,1
in which region could normal,1
are there any areas showing,1
considering common lung conditions can,1
where is the herniated cervical,1
where is the cervical spine,1
please segment where the abnormal,1
what is the potential risk,1
please segment the thickening of,1
if there s an infectious,1
which part of the brain,1
where can the postoperative manifestation,1
where does the catheter pass,1
is there any abnormal structure,1
where is the pericardium thickened,1
what might cause pericardial thickening,1
are there any locations in,1
could you segment the indistinct,1
is there a specific location,1
given that the boundary between,1
is there any visible fluid,1
are there any symptoms associated,1
please segment where the minimal,1
given the presence of minimal,1
where can we observe degenerative,1
what areas might indicate possible,1
if there is a correlation,1
please segment where the widespread,1
considering common lung pathologies can,1
where are the <lat> renal,1
are there any other potential,1
can you segment the cyst,1
where can we find pulmonary,1
can you segment a part,1
where are the glassy density,1
what area may require further,1
is there any deviation from,1
where does the possible bone,1
which part of the skull,1
please segment the nodular abnormality,1
which part of the kidney,1
where does the nodular high,1
in this case which part,1
where does the dilation occur,1
can you segment where hydronephrosis,1
what area shows abnormal dilation,1
what could cause the dilation,1
please segment where the consolidation,1
based on your analysis can,1
where is the subpleural inflammation,1
what area should a radiologist,1
please segment the nodules or,1
could you highlight the regions,1
what could lead to discomfort,1
where is the dilation and,1
please segment the affected region,1
is there a visible difference,1
where are the round air,1
can you segment where emphysema,1
considering the report findings where,1
where does the unusual tube,1
in this ct image which,1
where is the dilation of,1
what abnormality can be seen,1
can you segment the fluid,1
which side of the body,1
what might cause the dilation,1
are there any other structures,1
what type of intervention might,1
where are the linear high,1
are there any potential areas,1
please segment the affected area,1
please segment the spot like,1
where are the benign lesions,1
if we were to focus,1
where is the liquid density,1
is there any other lesion,1
how does the location and,1
where is the leaf shaped,1
what region has blurred margins,1
is there an area that,1
can you segment the postoperative,1
what could cause a linear,1
please segment where the sigmoid,1
are there any sections of,1
can you segment the <lat>,1
are there any differences between,1
given the size and shape,1
where does the <lat> renal,1
what region displays a potential,1
considering common locations for benign,1
where is the abnormal lung,1
where is the subcutaneous lesion,1
what region should be segmented,1
which area of the image,1
what regions might indicate potential,1
what type of cyst might,1
given the patient s age,1
what region of the <lat>,1
where can the <lat> parapelvic,1
in which region do the,1
what potential renal related conditions,1
identify and segment the abnormal,1
given your knowledge of medical,1
what part of the chest,1
where is the metal valve,1
what part of the heart,1
can you identify any prosthetic,1
what kind of cardiac surgery,1
where are the calcification foci,1
what type of lesion might,1
can you segment where multiple,1
what might cause an increase,1
can you segment the multiple,1
where can emphysema be found,1
where can we find emphysema,1
can you identify a region,1
please identify and segment multiple,1
which region might have reduced,1
please segment where the catheter,1
in which vessel does the,1
what structure could potentially be,1
if there is any potential,1
please segment the part that,1
could you highlight the circular,1
can you locate the circular,1
where can parapneumonic emphysema be,1
considering common lung conditions where,1
what could cause widespread circular,1
where does the liver parenchyma,1
are there any foreign objects,1
where does the catheter run,1
what is considered as post,1
what is an unusual finding,1
why might there be a,1
where is the pelvic effusion,1
in this image what region,1
which area has unclear edges,1
please segment where the extensive,1
where is the l1 vertebral,1
which spinal region is most,1
could you highlight and segment,1
given that multiple round low,1
could you segment the suspected,1
which renal abnormality appears to,1
are there any significant differences,1
what might indicate an early,1
in this image where would,1
where does the small amount,1
what could cause the accumulation,1
is there any region showing,1
given the general knowledge about,1
please segment where the nodules,1
are there any additional nodules,1
is there a need for,1
what type of abnormality is,1
what abnormality is observed in,1
considering the characteristics of the,1
where are the cysts located,1
what is the appearance of,1
are there any additional observations,1
could you differentiate between benign,1
where is the common bile,1
what might cause the absence,1
could the dilation of the,1
please segment where the focal,1
what potential risk factors could,1
how might this focal point,1
where is the atrophied <lat>,1
what might have caused the,1
if there are any functional,1
where is the renal failure,1
can you segment an abnormality,1
what area would require further,1
where is the degenerative change,1
which anatomical structure is likely,1
please segment where the cervical,1
given the provided report could,1
where is the <lat> lower,1
what abnormal finding could be,1
are there any other areas,1
which regions in the image,1
could these high density shadows,1
what area of the <lat>,1
in this image what renal,1
what might have led to,1
where is the abnormal area,1
where are the visible high,1
what part of the skull,1
if there are any areas,1
can you show me the,1
are there any known medical,1
where is the abnormality located,1
could you identify the unclear,1
considering the possibility of malignancy,1
are there any anatomical structures,1
where does the uneven thickening,1
where do you suspect omental,1
what abnormality stands out in,1
which abdominal region might require,1
what could cause a spot,1
could there be any clinical,1
what is the location of,1
where are the suspected renal,1
considering common medical knowledge where,1
is there a specific area,1
where are the fine reticular,1
what areas might indicate an,1
which area could potentially represent,1
where is the thickening of,1
in this image where can,1
is there a significant change,1
where is suspected cervical spondylosis,1
which region might experience compromised,1
in the context of spinal,1
please segment where the iliac,1
where can the irregular thickening,1
in which vessels do you,1
where does the irregularity in,1
which region may require further,1
where is the metallic shadow,1
what is the cause of,1
where is the non enhancing,1
can you segment and identify,1
what area of the kidney,1
what might cause the streaky,1
can you segment the sigmoid,1
